year,installed_capacity,waste_mass,collection_cost,transport_cost,processing_cost,labor_cost,total_cost,glass_benefit,aluminum_benefit,silicon_benefit,copper_benefit,silver_benefit,total_benefit,net_value
2010.0,298.61016455919093,298.61016455919093,238923.96486709986,272631.0802425413,1324491.3571055825,271410.0,2107456.4022152238,164817.88032844543,743539.3097523854,403370.0755406691,223061.79292571565,892247.1717028624,2427036.230250078,319579.828034854
2011.0,429.9986369652349,429.9986369652349,344050.50940862374,392588.7555492594,1907267.5542320383,452350.0,3096256.8191899215,237337.74767296138,1070696.6060434347,580852.9087785635,321208.98181303043,1284835.9272521217,3494932.1715601115,398675.35237018997
2012.0,619.1980372299383,619.1980372299383,495432.73354841827,565327.8079909337,2746465.2780941357,633290.0,4440515.819633488,341766.3566490645,1541803.1127025464,836428.1886411314,462540.933810764,1850163.7352430555,5032702.327046562,592186.5074130744
2013.0,891.6451736111112,891.6451736111112,713423.1363097223,814072.0435069446,3954910.0004555555,814230.0,6296635.1802722225,492143.5535746529,2220196.482291667,1204456.5916432294,666058.9446875001,2664235.7787500005,7247091.35094705,950456.1706748279
2014.0,1283.9690500000002,1283.9690500000002,1027329.3162860001,1172263.7426500001,5695070.400656,1176110.0,9070773.459592,708686.7171475001,3197082.9345000004,1734417.4919662501,959124.8803500001,3836499.5214,10435811.54536375,1365038.0857717507
2015.0,1817.0561500000003,1817.0561500000003,1453862.9667380003,1658972.2649500002,8059588.894448001,1718930.0,12891354.126136001,1002924.1419925003,4524469.813500001,2454524.8738237508,1357340.9440500003,5429363.7762,14768623.549566252,1877269.423430251
2016.0,3241.36995,3241.36995,2593484.924394,2959370.76435,14377161.240623998,2985510.0,22915526.929367997,1789074.1439025002,8071011.175499999,4378523.56270875,2421303.35265,9685213.4106,26345125.64536125,3429598.7159932517
2017.0,5816.0466,5816.0466,4653535.205592,5310050.545799999,25797191.015231997,5337730.0,41098506.766623996,3210166.92087,14481956.033999998,7856461.148445,4344586.8102,17378347.240799997,47271518.154314995,6173011.387690999
2018.0,10167.525549999998,10167.525549999998,8135240.543065999,9282950.827149998,45098262.92753599,9227940.0,71744394.297752,5611965.727322499,25317138.619499993,13734547.70107875,7595141.5858499985,30380566.343399994,82639359.97715124,10894965.679399252
2019.0,13239.2169,13239.2169,10592962.226028,12087405.029699998,58722811.34428799,12032510.0,93435688.600016,7307385.7679550005,32965650.080999997,17883865.1689425,9889695.0243,39558780.0972,107605376.1393975,14169687.539381504
