Year,Base_Case,CB_RL,W_RL,W_EL
2010,298.61016455919093,298.61016455919093,298.61016455919093,298.61016455919093
2011,643.2916116503714,643.2916116503714,429.99863696523494,429.99863696523494
2012,1139.632895461671,1139.632895461671,619.1980372299383,619.1980372299383
2013,1854.3643441499426,1854.3643441499426,891.6451736111112,891.6451736111112
2014,2883.577630261054,2883.577630261054,1283.9690500000002,1283.9690500000002
2015,4333.785480261054,4333.785480261054,1817.0561500000003,1817.0561500000003
2016,7055.9965302610535,7055.9965302610535,3241.3699500000002,3241.3699500000002
2017,11945.937430261054,11945.937430261054,5816.0466,5816.0466
2018,20451.735380261052,20451.735380261052,10167.525549999998,10167.525549999998
2019,30785.944980261054,30785.944980261054,13239.2169,13239.2169
2020,43204.60578026105,43204.60578026105,16201.294199999998,16201.294199999998
2021,57338.05368026105,57338.05368026105,18762.389099999997,18762.389099999997
2022,76545.79678026105,76545.79678026105,24568.4257,24568.4257
2023,99911.30128026105,99911.30128026105,30385.054699999997,30385.054699999997
2024,128455.04508026106,128455.04508026106,37225.188,37225.188
2025,163606.25832026105,163606.25832026105,45786.98124,45786.98124
2026,210758.30962068017,206842.25060546107,56318.02380492805,57411.79986515005
2027,271535.73462100123,260022.52111625706,69276.44533065644,81521.02116766252
2028,349845.399321806,325434.25384453614,85281.97768632906,132817.36941264648
2029,450832.88212563575,405890.68510031945,105324.56208815188,232842.24136796876
2030,581317.0363070456,504852.0955449329,131234.42248523587,413640.8512041353
2031,706618.3331955106,596926.6302248682,135468.85738542554,587012.9745010467
2032,854524.4245679285,689001.1649048035,144538.30697197258,809783.1036187729
2033,1045945.8720022389,781075.6995847388,161887.9174545635,1084214.7377321557
2034,1316005.012539674,873150.2342646741,192393.61800270912,1411584.3229767806
2035,1669162.7978946096,965224.7689446094,242628.16046220023,1792188.1575167468
2036,2115089.681424545,1057299.3036245448,321101.204324906,2225350.233644121
2037,2623546.9955794807,1149373.83830448,438442.2867817668,2709439.359400144
2038,3191742.214194416,1245108.4804300123,607481.8003382019,3241900.6697000563
2039,3759447.5122743514,1344283.6235544058,843169.0593686922,3819304.532856442
2040,4408434.866664287,1448413.0881171592,1162250.3015426877,4437414.27106901
2041,5191024.114830222,1559676.775551151,1582617.1740723676,5091272.789410626
2042,6188163.300948638,1681213.7439197262,2122234.664877756,5775307.046803427
2043,7334933.966572103,1804343.357003712,2797576.174621829,6483448.275370456
2044,8716784.840897081,1948600.3270236803,3621544.145959424,7209264.966580301
2045,10401123.905338619,2133528.512186463,4600948.363243788,7946104.914470887
2046,12451683.811625324,2391954.671948898,5733755.599469667,8687242.063283177
2047,14563883.008335156,2728048.1925538336,7006504.165213751,9426023.572101526
2048,16557492.359742219,3150847.471583769,8392461.429804467,10156012.398631822
2049,18210830.02890366,3632090.2249887045,9851227.246974528,10871120.823968701
2050,19251227.356379766,4169166.44465364,11330461.153525008,11565730.68408405
